,Location,Blacks,Asians,Native_Hawaiian/Pacific_Islanders,Whites,Hispanic/Latinos,American_Indian/Alaskan_Natives,Two_or_Mores,Others
0,"La Plata, Maryland",26.21,2.63,0.0,62.49,3.85,1.03,3.48,0.31
1,"Mount Rainier, Maryland",35.92,0.93,0.0,12.03,31.97,0.17,3.74,15.25
2,"Laurel, Maryland",46.17,7.46,0.0,20.6,15.23,0.64,2.95,6.96
3,"Westminster, Maryland",7.25,2.18,0.0,80.79,6.46,0.3,2.49,0.53
4,"Manchester, Maryland",2.32,1.97,0.0,92.16,1.53,0.0,2.03,0.0
5,"Landover Hills, Maryland",34.04,1.57,0.0,12.47,32.93,0.0,7.21,11.78
6,"Hampstead, Maryland",0.95,0.23,0.0,95.01,2.14,0.0,1.66,0.0
7,"Hurlock, Maryland",25.7,0.97,0.0,50.87,11.21,0.0,6.09,5.17
8,"Havre de Grace, Maryland",16.38,3.9,0.0,71.06,4.45,0.75,2.86,0.59
9,"Hagerstown, Maryland",18.04,2.62,0.06,66.28,5.83,0.32,5.91,0.94
10,"New Carrollton, Maryland",61.57,2.88,0.0,8.0,17.64,0.51,3.6,5.8
11,"Greensboro, Maryland",10.12,0.1,0.0,75.16,6.95,1.77,2.59,3.31
12,"Hyattsville, Maryland",27.23,3.58,0.0,18.0,27.64,0.45,3.05,20.06
13,"North East, Maryland",8.97,0.51,0.0,87.32,2.38,0.32,0.0,0.49
14,"Taneytown, Maryland",4.37,2.24,0.0,85.85,3.11,0.18,3.56,0.69
15,"Perryville, Maryland",11.13,4.81,0.0,65.24,10.46,0.13,6.27,1.96
16,"Pocomoke City, Maryland",49.7,2.75,0.0,44.42,0.5,0.26,2.37,0.0
17,"Princess Anne, Maryland",55.03,0.66,0.0,31.8,4.65,0.0,7.83,0.03
18,"Ridgely, Maryland",13.7,0.0,0.0,75.13,5.98,0.0,4.61,0.58
19,"Riverdale Park, Maryland",22.87,4.27,0.0,15.96,46.97,2.43,1.73,5.77
20,"Salisbury, Maryland",34.6,3.38,0.06,49.6,6.8,0.24,3.21,2.11
21,"Seat Pleasant, Maryland",88.55,0.0,0.0,0.85,7.68,0.0,2.93,0.0
22,"Smithsburg, Maryland",3.41,0.26,0.0,89.75,3.54,0.0,2.27,0.78
23,"Snow Hill, Maryland",36.05,0.0,0.0,57.66,0.51,0.0,5.77,0.0
24,"St. Michaels, Maryland",31.27,0.46,0.0,64.39,3.87,0.0,0.0,0.0
25,"Thurmont, Maryland",0.74,0.68,0.0,92.76,3.72,0.0,1.89,0.22
26,"Trappe, Maryland",24.51,1.14,1.87,62.62,7.82,0.0,2.04,0.0
27,"Upper Marlboro, Maryland",50.21,1.43,0.0,42.65,3.0,0.0,2.43,0.29
28,"Greenbelt, Maryland",46.8,7.3,0.0,23.53,13.85,0.0,2.54,5.96
29,"Ocean Pines, Maryland",3.64,0.79,0.6,88.56,4.49,0.25,0.99,0.67
30,"Glenarden, Maryland",85.44,2.71,0.0,1.21,4.45,0.19,3.75,2.25
31,"Delmar, Maryland",24.14,5.67,0.0,57.26,10.34,0.0,2.14,0.45
32,"Frostburg, Maryland",12.62,2.87,0.0,80.28,0.99,0.06,2.97,0.23
33,"Fruitland, Maryland",21.29,7.11,0.0,61.05,2.89,0.0,7.67,0.0
34,"Aberdeen, Maryland",28.39,4.63,0.0,52.31,7.25,0.43,3.73,3.26
35,"Annapolis, Maryland",22.16,1.23,0.0,49.29,17.07,0.04,1.76,8.45
36,"Baltimore, Maryland",61.4,2.51,0.06,27.44,4.47,0.28,2.22,1.63
37,"Bel Air, Maryland",1.68,0.67,0.0,90.26,5.17,0.0,2.22,0.0
38,"Bel Air, Maryland",6.47,4.55,0.0,83.47,2.78,0.0,2.73,0.0
39,"Berlin, Maryland",18.76,2.85,0.0,68.74,8.04,0.24,1.36,0.0
40,"Berwyn Heights, Maryland",9.26,8.68,0.0,35.07,28.63,0.34,4.54,13.48
41,"Bladensburg, Maryland",52.19,1.54,0.0,3.27,26.29,0.0,0.73,15.97
42,"Bowie, Maryland",48.01,3.7,0.0,36.64,6.28,0.23,3.84,1.3
43,"Brentwood, Maryland",28.28,3.61,0.0,8.91,36.01,0.0,0.86,22.34
44,"Brunswick, Maryland",4.81,0.15,0.15,85.1,4.86,0.0,4.93,0.0
45,"Cambridge, Maryland",47.12,0.95,0.0,43.2,4.37,0.02,2.01,2.32
46,"Capitol Heights, Maryland",87.91,0.09,0.0,0.96,7.23,0.51,0.19,3.1
47,"Centreville, Maryland",9.97,0.0,0.0,86.01,3.44,0.0,0.0,0.57
48,"Boonsboro, Maryland",2.29,2.6,0.0,93.98,0.26,0.87,0.0,0.0
49,"Cheverly, Maryland",56.41,1.13,0.0,28.44,8.32,0.12,4.82,0.76
50,"Chestertown, Maryland",21.68,3.15,0.0,71.55,2.59,0.0,0.95,0.08
51,"Forest Heights, Maryland",73.5,2.18,0.0,3.1,10.34,0.0,1.43,9.45
52,"Federalsburg, Maryland",37.47,0.11,0.0,53.07,4.97,0.0,2.94,1.44
53,"Fairmount Heights, Maryland",80.99,1.54,0.0,1.24,10.24,0.0,0.83,5.15
54,"Edmonston, Maryland",27.09,0.75,0.0,14.41,39.94,0.0,0.29,17.52
55,"Easton, Maryland",14.04,2.49,0.0,66.93,10.08,0.12,5.97,0.37
56,"Elkton, Maryland",15.29,3.08,0.0,70.61,7.32,0.24,2.17,1.3
57,"Frederick, Maryland",18.17,5.89,0.09,52.04,15.22,0.46,3.85,4.29
58,"Cumberland, Maryland",6.32,1.04,0.0,87.25,1.5,0.2,3.4,0.29
59,"Crisfield, Maryland",31.71,0.76,0.0,49.59,8.06,0.0,2.73,7.16
60,"Cottage City, Maryland",33.17,2.37,0.0,12.85,34.89,0.0,2.51,14.21
61,"Colmar Manor, Maryland",32.3,7.5,0.0,8.17,46.08,0.11,1.33,4.5
62,"District Heights, Maryland",90.16,0.23,0.0,2.4,2.63,0.0,2.19,2.39
63,"Pembroke, Virginia",14.13,0.0,0.66,80.65,2.28,0.0,1.47,0.81
64,"Pennington Gap, Virginia",9.53,0.0,0.0,90.19,0.28,0.0,0.0,0.0
65,"Petersburg, Virginia",75.76,1.3,0.02,15.38,4.16,0.06,2.07,1.25
66,"Poquoson, Virginia",0.98,1.84,0.0,92.08,2.24,0.07,2.41,0.39
67,"Radford, Virginia",9.08,1.91,0.0,82.51,2.96,0.0,2.82,0.72
68,"Pulaski, Virginia",8.44,0.09,0.0,88.27,1.27,0.0,1.18,0.77
69,"Purcellville, Virginia",3.19,2.79,0.08,85.56,6.5,0.0,1.89,0.0
70,"Rich Creek, Virginia",0.88,1.0,1.0,87.58,7.28,0.0,1.88,0.38
71,"Richlands, Virginia",0.07,0.85,0.0,97.1,0.0,0.0,1.97,0.0
72,"Pearisburg, Virginia",2.02,0.0,0.0,96.96,0.0,1.03,0.0,0.0
73,"Portsmouth, Virginia",51.65,1.08,0.06,38.74,3.58,0.42,3.22,1.25
74,"Parksley, Virginia",21.19,0.0,0.0,69.51,5.43,0.0,1.55,2.33
75,"Mount Jackson, Virginia",0.79,2.59,0.0,54.61,30.15,0.08,1.3,10.48
76,"Onley, Virginia",12.1,0.0,0.0,72.82,10.52,3.37,1.19,0.0
77,"Onancock, Virginia",35.6,0.33,0.0,59.72,0.74,2.3,1.07,0.25
78,"Norton, Virginia",3.37,5.73,0.0,85.32,2.39,0.12,1.62,1.45
79,"Norfolk, Virginia",40.72,3.28,0.17,42.59,7.0,0.47,3.66,2.11
80,"Newport News, Virginia",39.17,2.97,0.19,43.88,7.97,0.32,3.97,1.53
81,"New Market, Virginia",1.61,0.0,0.0,72.34,19.11,0.24,3.71,2.98
82,"Narrows, Virginia",0.42,1.94,0.0,97.65,0.0,0.0,0.0,0.0
83,"Richmond, Virginia",47.55,2.17,0.02,39.04,6.21,0.51,3.38,1.11
84,"Middletown, Virginia",8.76,0.0,0.26,79.69,6.16,0.26,4.87,0.0
85,"Martinsville, Virginia",44.91,0.14,0.0,46.31,4.43,0.14,1.79,2.29
86,"Marion, Virginia",8.58,0.08,0.0,86.65,2.04,0.0,2.65,0.0
87,"Manassas Park, Virginia",11.44,8.78,0.0,35.58,32.49,0.3,5.82,5.59
88,"Manassas, Virginia",13.44,4.94,0.11,42.06,31.01,0.32,3.93,4.19
89,"Orange, Virginia",18.42,1.43,0.0,69.25,8.54,0.0,1.8,0.55
90,"Roanoke, Virginia",27.1,2.4,0.12,59.27,5.74,0.16,3.74,1.46
91,"Lynchburg, Virginia",28.13,2.81,0.03,62.22,3.23,0.24,2.59,0.74
92,"Salem, Virginia",7.73,2.06,0.0,85.08,3.13,0.07,1.34,0.59
93,"Wytheville, Virginia",8.26,1.69,0.0,86.02,2.71,0.05,0.4,0.86
94,"Woodstock, Virginia",6.22,0.25,0.0,80.54,10.64,0.0,2.31,0.04
95,"Wise, Virginia",1.29,1.0,0.0,97.02,0.0,0.0,0.69,0.0
96,"Windsor, Virginia",21.95,0.98,0.0,74.3,0.0,0.11,2.65,0.0
97,"Winchester, Virginia",10.26,2.32,0.0,65.56,15.75,0.19,3.3,2.63
98,"Williamsburg, Virginia",15.11,5.83,0.0,68.2,6.96,0.09,3.36,0.46
99,"West Point, Virginia",6.35,1.29,0.0,87.35,0.63,0.3,4.08,0.0
100,"Weber City, Virginia",2.09,2.45,0.0,93.3,0.43,0.0,1.73,0.0
101,"Waynesboro, Virginia",12.29,0.93,0.0,75.35,6.48,0.1,2.69,2.17
102,"Waverly, Virginia",54.76,0.06,0.0,34.19,6.66,0.0,0.0,4.34
103,"Warrenton, Virginia",10.58,1.02,0.0,73.6,9.13,0.11,4.44,1.12
104,"Virginia Beach, Virginia",18.76,6.28,0.11,61.36,7.29,0.3,4.51,1.38
105,"Rocky Mount, Virginia",24.07,0.0,0.0,65.44,3.83,0.0,0.58,6.08
106,"Vinton, Virginia",7.78,2.98,0.0,85.8,2.26,0.0,1.17,0.0
107,"Victoria, Virginia",22.34,0.0,0.0,74.46,0.55,0.0,1.77,0.88
108,"Timberville, Virginia",1.76,0.0,0.0,89.82,5.25,0.0,1.8,1.38
109,"Tazewell, Virginia",8.03,0.51,0.0,87.95,0.55,0.0,2.96,0.0
110,"Tappahannock, Virginia",49.1,0.0,0.0,48.52,0.31,0.45,1.3,0.31
111,"Suffolk, Virginia",41.22,1.37,0.02,49.46,3.55,0.14,3.69,0.54
112,"Strasburg, Virginia",2.88,1.02,0.0,87.57,3.36,0.0,2.17,3.0
113,"Stephens City, Virginia",8.41,0.78,0.0,82.04,5.76,0.73,2.08,0.21
114,"Staunton, Virginia",12.03,1.07,0.0,80.44,2.59,0.19,3.06,0.62
115,"South Hill, Virginia",30.73,0.0,0.0,60.82,2.24,0.73,3.61,1.87
116,"South Boston, Virginia",43.38,0.86,0.07,55.07,0.14,0.11,0.3,0.07
117,"Smithfield, Virginia",33.52,0.23,0.0,62.4,1.71,0.29,1.85,0.0
118,"Shenandoah, Virginia",1.05,0.0,0.0,89.74,4.55,0.93,2.78,0.97
119,"Vienna, Virginia",3.23,13.08,0.0,68.62,9.21,0.05,4.55,1.26
120,"Luray, Virginia",5.09,2.06,0.0,89.58,2.16,0.0,1.11,0.0
121,"St. Paul, Virginia",0.0,0.28,0.0,95.83,3.89,0.0,0.0,0.0
122,"Lexington, Virginia",10.8,6.83,0.0,74.97,3.84,0.0,3.47,0.08
123,"Covington, Virginia",13.78,0.98,0.26,80.65,1.24,0.0,2.52,0.57
124,"Colonial Heights, Virginia",12.79,3.43,0.0,75.18,4.89,0.73,1.27,1.71
125,"Colonial Beach, Virginia",5.81,1.85,0.0,89.21,1.37,0.11,1.65,0.0
126,"Coeburn, Virginia",1.18,0.42,0.0,96.51,1.22,0.0,0.67,0.0
127,"Clintwood, Virginia",2.11,0.07,0.0,89.26,4.89,0.0,3.06,0.61
128,"Clifton Forge, Virginia",13.52,0.43,0.0,78.1,3.48,0.0,3.12,1.35
129,"Christiansburg, Virginia",6.61,2.25,0.0,86.88,3.72,0.06,0.38,0.1
130,"Chincoteague, Virginia",2.61,0.71,0.0,92.65,1.29,0.41,2.07,0.27
131,"Chilhowie, Virginia",1.57,0.38,0.0,91.99,2.98,0.38,2.49,0.22
132,"Chesapeake, Virginia",29.17,3.22,0.12,58.04,4.96,0.22,2.96,1.3
133,"Chase City, Virginia",53.76,2.9,0.0,40.61,0.0,0.0,2.29,0.43
134,"Charlottesville, Virginia",19.11,6.62,0.16,65.99,4.93,0.19,2.69,0.31
135,"Crewe, Virginia",27.11,0.5,0.0,65.79,2.62,0.25,2.19,1.54
136,"Cape Charles, Virginia",24.67,0.88,0.0,73.9,0.55,0.0,0.0,0.0
137,"Brookneal, Virginia",37.75,0.76,0.0,57.43,0.0,0.0,3.72,0.34
138,"Bristol, Virginia",5.66,0.93,0.0,88.3,1.66,0.6,1.58,1.28
139,"Bridgewater, Virginia",4.77,0.15,0.0,86.5,4.86,2.24,1.49,0.0
140,"Bluefield, Virginia",9.02,1.68,0.0,83.73,2.94,0.11,2.31,0.2
141,"Big Stone Gap, Virginia",20.1,0.59,0.0,74.64,2.56,0.05,1.58,0.47
142,"Bedford, Virginia",28.99,0.0,0.06,68.45,1.1,0.0,1.18,0.21
143,"Ashland, Virginia",19.2,2.72,0.04,66.73,6.14,1.11,3.36,0.69
144,"Appalachia, Virginia",4.38,0.59,0.0,91.82,0.11,0.0,3.1,0.0
145,"Altavista, Virginia",25.02,1.71,0.0,65.69,3.44,0.11,1.18,2.85
146,"Alexandria, Virginia",20.38,6.28,0.02,49.97,15.79,0.18,4.37,3.01
147,"Abingdon, Virginia",5.81,1.75,0.0,87.73,3.44,0.13,0.32,0.83
148,"Louisa, Virginia",18.81,1.32,0.0,60.72,11.77,0.0,1.96,5.42
149,"Buena Vista, Virginia",1.05,7.1,0.0,88.91,1.37,0.0,1.58,0.0
150,"Culpeper, Virginia",18.83,1.84,0.0,55.44,14.74,0.4,5.16,3.59
151,"Blackstone, Virginia",38.01,0.1,0.0,49.7,8.74,0.0,0.84,2.62
152,"Danville, Virginia",47.63,1.19,0.0,44.11,3.23,0.11,2.06,1.67
153,"Damascus, Virginia",0.4,0.0,0.0,99.6,0.0,0.0,0.0,0.0
154,"Leesburg, Virginia",7.16,8.48,0.13,58.19,17.79,0.04,2.96,5.25
155,"Lebanon, Virginia",1.56,0.06,0.0,93.69,3.96,0.0,0.7,0.03
156,"Lawrenceville, Virginia",61.76,1.05,0.0,31.3,3.36,0.0,1.05,1.47
157,"Hurt, Virginia",14.77,2.95,0.0,78.48,2.25,0.0,1.55,0.0
158,"Hillsville, Virginia",0.0,0.0,0.0,99.22,0.55,0.0,0.0,0.22
159,"Haymarket, Virginia",11.58,8.71,0.0,64.32,8.97,0.0,6.36,0.05
160,"Harrisonburg, Virginia",6.98,4.02,0.07,67.68,17.38,0.1,2.61,1.16
161,"Hampton, Virginia",48.81,2.25,0.03,39.2,5.07,0.43,3.09,1.12
162,"Grottoes, Virginia",1.75,0.0,0.0,87.99,4.88,0.0,2.1,3.28
163,"Gretna, Virginia",35.61,0.0,0.0,59.49,0.39,1.48,3.03,0.0
164,"Gordonsville, Virginia",27.7,0.0,0.0,70.13,0.19,0.0,1.91,0.06
165,"Gate City, Virginia",2.74,0.04,0.0,96.71,0.51,0.0,0.0,0.0
166,"Hopewell, Virginia",36.19,1.39,0.0,48.59,6.47,0.13,3.2,4.03
167,"Front Royal, Virginia",7.29,1.83,0.03,78.32,6.55,0.13,5.27,0.58
168,"Galax, Virginia",5.43,0.37,0.0,74.32,16.46,0.07,2.36,0.98
169,"Dublin, Virginia",6.99,0.26,0.0,85.09,3.66,0.0,3.74,0.26
170,"Dumfries, Virginia",30.77,1.3,0.0,25.34,33.3,0.38,3.98,4.93
171,"Dayton, Virginia",0.24,2.05,0.0,76.52,19.81,0.0,0.96,0.42
172,"Emporia, Virginia",53.53,1.01,0.0,38.03,2.93,0.24,1.33,2.93
173,"Exmore, Virginia",37.1,0.2,0.0,58.44,2.5,0.0,0.92,0.85
174,"Elkton, Virginia",2.36,1.61,0.0,93.55,1.61,0.0,0.5,0.36
175,"Falls Church, Virginia",2.03,10.91,0.0,69.36,9.29,0.0,5.02,3.39
176,"Farmville, Virginia",29.23,1.17,0.0,63.52,3.42,0.21,2.24,0.21
177,"Franklin, Virginia",58.37,0.59,0.0,38.06,1.04,0.0,1.2,0.74
178,"Fredericksburg, Virginia",22.14,2.35,0.09,56.82,10.53,0.2,4.38,3.49
